question ids,question,id
Q0001,"I need over-ear headphones for travel and commuting. I care about Bluetooth 5.3 and transparency mode, preferably in Black. What matches?","1,2"
Q0002,"My budget is under $72. I need over-ear headphones for travel, with Bluetooth 5.3 and transparency mode. What is the best match?",1
Q0003,I can spend around $73-$93 on over-ear headphones for travel. I want Bluetooth 5.3 and transparency mode. Which one falls in that range?,2
Q0004,"What would you recommend for picnics if I want a compact speaker with 20-hour battery, USB-C charging, and an option in the Large size?","3,4"
Q0005,I don't want to spend over $50 on a compact speaker. It should handle picnics and include 20-hour battery. What do you have?,3
Q0006,Need the more premium option for compact speaker for picnics. Target budget $51-$68; must include 20-hour battery. What fits?,4
Q0007,Looking for a mechanical keyboard mainly for desktop setups. It needs anti-ghosting and hot-swappable switches; I’d also like it with Blue Clicky switches. Which products fit?,"5,6"
Q0008,"I have about $67 max for mechanical keyboard. The important parts are anti-ghosting and hot-swappable switches, mostly for desktop setups. Which product should I look at?",5
Q0009,Which mechanical keyboard priced in the $68-$91 range is best for desktop setups if anti-ghosting and hot-swappable switches matter?,6
Q0010,Do you have a wireless mouse suitable for office work that includes rechargeable battery and adjustable DPI? In the Large size would be ideal.,"7,8"
Q0011,"Trying to keep this purchase under $38. I need a wireless mouse for office work, preferably with rechargeable battery and adjustable DPI.",7
Q0012,My budget for wireless mouse is roughly $39 to $51. It needs to work for office work and have rechargeable battery. What's the closest fit?,8
Q0013,"I'm shopping for a desktop monitor for content creation/casual gaming. Must-have features are 2560x1440 resolution and IPS panel, and I want a variant in Navy. Any good matches?","9,10"
Q0014,"Looking for a budget option: a desktop monitor for content creation, ideally with 2560x1440 resolution, and under $37. Which one fits?",9
Q0015,I'm comparing desktop monitor options and want the one in the $38-$52 bracket with 2560x1440 resolution and IPS panel. Which is it?,10
Q0016,"Can you show me a multiport dock that works well for multi-monitor desks, has HDMI, and also offers USB-A? I prefer it in Silver.","11,12"
Q0017,What's a budget-friendly option for multiport dock under $36 that works for multi-monitor desks and has HDMI?,11
Q0018,"I'm not looking for the cheapest option. Show me an option for multiport dock around $37-$47 with HDMI, mainly for multi-monitor desks.",12
Q0019,"Need something for home automation: smart plugs, energy monitoring, voice assistant support. Bonus if I can get it in Black. What are my options?","13,14"
Q0020,Do you have smart plugs with energy monitoring that stays below $35? I'll mainly use it for home automation.,13
Q0021,Looking for the higher-end option for smart plugs for home automation; I’m comfortable paying $36-$46 and want energy monitoring plus voice assistant support.,14
Q0022,"Which webcam would fit someone using it for streaming and remote work, especially with privacy cover plus autofocus? I'd choose one at 4K resolution.","15,16"
Q0023,Can I get a webcam for streaming with privacy cover for no more than $60? autofocus would be useful too.,15
Q0024,Recommend an option for webcam for streaming in the $61-$83 price band. privacy cover is a must and autofocus would be great.,16
Q0025,"I’m trying to find a portable charger with 10000 mAh capacity for daily carry. USB-C input/output matters too, and I’d like the with 20 capacity version.","17,18"
Q0026,"Need a portable charger for daily carry, but my ceiling is $44. I still want 10000 mAh capacity and USB-C input/output. Any match?",17
Q0027,"For portable charger, I can go up to about $57 but want to spend at least $45 for the nicer version. It should have 10000 mAh capacity and USB-C input/output.",18
Q0028,"Any portable projector for movie nights that checks these boxes: built-in speaker, compact body, and availability in Black?","19,20"
